x,y,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,LOCAL_YEAR,LOCAL_MONTH,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_TEMPERATURE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,ID,MIN_TEMPERATURE
-118.02972222222222,52.92638888888889,0,,0,,1994,6,AB,,JASPER WARDEN,,5.7,,M,M,1994-06-10 00:00:00,,,,20,10,,,,12.3,,0,,3053536,,0,,,3053536.1994.6.10,4.5
-118.02972222222222,52.92638888888889,0,,0,,1994,6,AB,,JASPER WARDEN,,6.7,,M,M,1994-06-11 00:00:00,,,,17.1,11,,,,11.3,,0,,3053536,,0,,,3053536.1994.6.11,5.4
-118.02972222222222,52.92638888888889,32,,0.4,,1994,6,AB,,JASPER WARDEN,,4.9,,M,M,1994-06-12 00:00:00,,,,20.6,12,,,,13.1,,20,,3053536,,0,,,3053536.1994.6.12,5.5
-118.02972222222222,52.92638888888889,41,,3.4,,1994,6,AB,,JASPER WARDEN,,7.1,,M,M,1994-06-13 00:00:00,,,,16.9,13,,,,10.9,,25,,3053536,,0,,,3053536.1994.6.13,4.9
-118.02972222222222,52.92638888888889,0,,7.4,,1994,6,AB,,JASPER WARDEN,,12.7,,M,M,1994-06-14 00:00:00,,,,6.7,14,,,,5.3,,0,,3053536,,0,,,3053536.1994.6.14,3.8
-118.02972222222222,52.92638888888889,0,,0.4,,1994,6,AB,,JASPER WARDEN,,10.3,,M,M,1994-06-15 00:00:00,,,,11.8,15,,,,7.7,,0,,3053536,,0,,,3053536.1994.6.15,3.5
-118.02972222222222,52.92638888888889,0,,0,,1994,6,AB,,JASPER WARDEN,,11.4,,M,M,1994-06-16 00:00:00,,,,15.6,16,,,,6.6,,0,,3053536,,0,,,3053536.1994.6.16,-2.4
-118.02972222222222,52.92638888888889,0,,0,,1994,6,AB,,JASPER WARDEN,,7.4,,M,M,1994-06-17 00:00:00,,,,18.7,17,,,,10.6,,0,,3053536,,0,,,3053536.1994.6.17,2.5
-118.02972222222222,52.92638888888889,41,,0.8,,1994,6,AB,,JASPER WARDEN,,6.8,,M,M,1994-06-18 00:00:00,,,,22,18,,,,11.2,,34,,3053536,,0,,,3053536.1994.6.18,0.4
-118.02972222222222,52.92638888888889,0,,30.3,,1994,6,AB,,JASPER WARDEN,,7.3,,M,M,1994-06-19 00:00:00,,,,17,19,,,,10.7,,0,,3053536,,0,,,3053536.1994.6.19,4.3
